Name of Location (Optional),Address (Optional),Zip / Postal Code (Optional),Country (Required),Latitude (Optional),Longitude (Optional),Weight (Optional),Remarks (Optional)
,,,Greece,38.2883,21.7888,60,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,57,
,,,Greece,38.2883,21.7888,60,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,60,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,59,
,,,Greece,38.2883,21.7888,57,
,,,Greece,38.2883,21.7888,57,
,,,Greece,38.2883,21.7888,65,
,,,Greece,38.2883,21.7888,75,
,,,Greece,38.2883,21.7888,72,
,,,Greece,38.2883,21.7888,77,
,,,Greece,38.2883,21.7888,69,
,,,Greece,38.2883,21.7888,69,
,,,Greece,38.2884,21.7888,71,
,,,Greece,38.2884,21.7888,55,
,,,Greece,38.2884,21.7889,80,
,,,Greece,38.2884,21.7888,78,
,,,Greece,38.2882,21.7885,88,
,,,Greece,38.2881,21.7887,85,
,,,Greece,38.2882,21.7889,78,
,,,Greece,38.2879,21.7885,77,
,,,Greece,38.2879,21.7885,66,
,,,Greece,38.2877,21.7883,90,
,,,Greece,38.2876,21.7876,84,
,,,Greece,38.2881,21.7877,81,
,,,Greece,38.288,21.7877,73,
,,,Greece,38.2878,21.7878,68,
,,,Greece,38.2878,21.7876,78,
,,,Greece,38.2876,21.7876,107,
,,,Greece,38.288,21.7872,91,
,,,Greece,38.288,21.7867,84,
,,,Greece,38.2879,21.7867,87,
,,,Greece,38.2879,21.7867,79,
,,,Greece,38.2878,21.7868,87,
,,,Greece,38.2873,21.7872,89,
,,,Greece,38.2871,21.788,91,
,,,Greece,38.2875,21.7884,73,
,,,Greece,38.2876,21.7883,72,
,,,Greece,38.2874,21.7884,83,
,,,Greece,38.2872,21.7884,89,
,,,Greece,38.287,21.7891,64,
,,,Greece,38.2872,21.7899,74,
,,,Greece,38.2878,21.7898,61,
,,,Greece,38.2877,21.7899,69,
,,,Greece,38.2884,21.7901,75,
,,,Greece,38.2891,21.79,71,
,,,Greece,38.2887,21.7897,63,
,,,Greece,38.2888,21.79,69,
,,,Greece,38.2888,21.7896,69,
,,,Greece,38.2884,21.7898,71,
,,,Greece,38.2883,21.7899,84,
,,,Greece,38.2879,21.7896,91,
,,,Greece,38.288,21.7895,99,
,,,Greece,38.2882,21.7894,84,
,,,Greece,38.2882,21.7894,78,
,,,Greece,38.2882,21.7894,81,
,,,Greece,38.2882,21.7891,93,
,,,Greece,38.2883,21.7884,73,
,,,Greece,38.2879,21.7876,75,
,,,Greece,38.2877,21.7875,90,
,,,Greece,38.2869,21.7872,105,
,,,Greece,38.2862,21.7859,95,
,,,Greece,38.2865,21.7854,117,
,,,Greece,38.2868,21.786,88,
,,,Greece,38.2867,21.7866,91,
,,,Greece,38.2862,21.786,93,
,,,Greece,38.286,21.7856,102,
,,,Greece,38.286,21.7856,96,
,,,Greece,38.286,21.7856,99,
,,,Greece,38.286,21.786,110,
,,,Greece,38.2857,21.7862,105,
,,,Greece,38.2857,21.7862,109,
,,,Greece,38.2856,21.7862,113,
,,,Greece,38.2856,21.7863,115,
,,,Greece,38.2851,21.7868,103,
,,,Greece,38.2857,21.7876,101,
,,,Greece,38.2865,21.787,88,
,,,Greece,38.2861,21.7879,89,
,,,Greece,38.2853,21.7882,107,
,,,Greece,38.2846,21.7873,114,
,,,Greece,38.2839,21.7883,97,
,,,Greece,38.2849,21.7884,113,
,,,Greece,38.2841,21.7877,103,
